,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
0,Afghanistan,0.0,0.0,492.0,1012.0,1889.0,2382.0,2923.0,Australia,8698.0
6,Argentina,1449.0,1836.0,2545.0,2994.0,3691.0,4534.0,5458.0,Australia,22507.0
9,Austria,7967.0,8051.0,7029.0,7229.0,6175.0,7329.0,8596.0,Australia,52376.0
13,Bangladesh,142.0,207.0,619.0,1142.0,2099.0,2658.0,3269.0,Australia,10136.0
16,Belgium,1119.0,1360.0,1566.0,1483.0,1708.0,2086.0,2500.0,Australia,11822.0
21,Bosnia and Herzegovina,2336.0,2861.0,4198.0,4590.0,5979.0,7386.0,8927.0,Australia,36277.0
23,Brazil,353.0,515.0,852.0,1022.0,1704.0,2141.0,2619.0,Australia,9206.0
24,Brunei,0.0,160.0,309.0,376.0,421.0,527.0,644.0,Australia,2437.0
25,Bulgaria,371.0,431.0,487.0,621.0,835.0,1039.0,1262.0,Australia,5046.0
28,Cambodia,359.0,1332.0,2463.0,3088.0,3572.0,4289.0,5076.0,Australia,20179.0
30,Canada,4155.0,5393.0,7589.0,8501.0,10395.0,13058.0,15974.0,Australia,65065.0
34,Chile,3051.0,4227.0,6467.0,7303.0,8486.0,10541.0,12792.0,Australia,52867.0
35,China,6894.0,9432.0,22475.0,32444.0,43863.0,55265.0,67743.0,Australia,238116.0
36,"China, Hong Kong SAR",3299.0,6284.0,14273.0,16777.0,16677.0,20854.0,25429.0,Australia,103593.0
37,"China, Macao SAR",0.0,230.0,523.0,570.0,526.0,656.0,798.0,Australia,3303.0
38,Colombia,313.0,426.0,627.0,762.0,1392.0,1748.0,2137.0,Australia,7405.0
44,Croatia,11322.0,13255.0,11923.0,17726.0,12607.0,14970.0,17564.0,Australia,99367.0
46,Cyprus,3173.0,4114.0,4351.0,4448.0,4546.0,5451.0,6444.0,Australia,32527.0
47,Czech Republic,4064.0,4474.0,4079.0,4355.0,2463.0,3050.0,3692.0,Australia,26177.0
48,Denmark,2427.0,2702.0,3159.0,3299.0,3237.0,3880.0,4586.0,Australia,23290.0
52,Ecuador,194.0,218.0,290.0,374.0,460.0,569.0,690.0,Australia,2795.0
53,Egypt,8409.0,8984.0,10422.0,10058.0,10225.0,12633.0,15269.0,Australia,76000.0
54,El Salvador,0.0,276.0,1523.0,1792.0,2314.0,2902.0,3544.0,Australia,12351.0
57,Estonia,2357.0,2060.0,836.0,1261.0,872.0,1072.0,1291.0,Australia,9749.0
58,Ethiopia,0.0,0.0,256.0,475.0,814.0,1020.0,1246.0,Australia,3811.0
59,Fiji,1912.0,3242.0,7332.0,9280.0,12711.0,15697.0,18967.0,Australia,69141.0
60,Finland,2393.0,2615.0,3352.0,2850.0,2842.0,3403.0,4017.0,Australia,21472.0
61,France,3566.0,4482.0,5491.0,5952.0,6907.0,8455.0,10150.0,Australia,45003.0
65,Germany,36282.0,38421.0,38079.0,37838.0,34948.0,41666.0,49040.0,Australia,276274.0
66,Ghana,0.0,0.0,232.0,319.0,506.0,618.0,740.0,Australia,2415.0
67,Greece,15455.0,17952.0,22184.0,18778.0,16957.0,19955.0,23249.0,Australia,134530.0
76,Hungary,9386.0,9128.0,8842.0,8330.0,7472.0,9143.0,10975.0,Australia,63276.0
78,India,12207.0,14837.0,20919.0,25078.0,32366.0,40243.0,48869.0,Australia,194519.0
79,Indonesia,3523.0,4856.0,8540.0,9770.0,12300.0,15575.0,19159.0,Australia,73723.0
80,Iran,842.0,1791.0,3262.0,4119.0,5316.0,6687.0,8188.0,Australia,30205.0
81,Iraq,557.0,910.0,1314.0,2345.0,4038.0,4982.0,6016.0,Australia,20162.0
82,Ireland,11995.0,12201.0,17266.0,16353.0,18069.0,21864.0,26024.0,Australia,123772.0
83,Israel,1607.0,1842.0,1779.0,1728.0,2060.0,2555.0,3097.0,Australia,14668.0
84,Italy,36793.0,41146.0,43095.0,37559.0,32500.0,37333.0,42657.0,Australia,271083.0
